File_name,Paper_title,Reference,Citation,aim at Social Communication skills,aim at Emotional Intelligence skills,aim at Language and Speech skills,aim at Cognitive Skills,aim at Social Cognition skills,aim at Physical and Motor Development skills,aim at Self-Management and Adaptive Skills,studying Children with ASD,studying Adolescents with ASD,studying Adults with ASD,studying Children with other neurodevelopmental disabilities,studying Adolescents with other neurodevelopmental disabilities,studying Adults with other neurodevelopmental disabilities,carry out Social Interaction Activities with robots,carry out Storytelling and Play-based Activities with robots,carry out Imitation and Movement Activities with robots,carry out Emotion and Expression Recognition Activities with robots,Music and Rhythm Activities with robots,carry out Executive Function and Cognitive Activities with robots,carry out Communication and Language Activities with robots
Fortiva-28-Giannopulu-2013-B-Multimodal-Cognitive-Nonverbal-and-Verbal-Interact.pdf,Multimodal Cognitive Nonverbal and Verbal Interactions: the Neurorehabilitation of Autistic Children Via Mobile Toy Robots,Giannopulu; I. (2013). Multimodal Cognitive Nonverbal and Verbal Interactions: the Neurorehabilitation of Autistic Children Via Mobile Toy Robots. International Journal on Advances in Life Sciences; 5(3-4); 214-222.,(Giannopulu; 2013),Yes; the authors aimed at developing and evaluating social communication skills such as eye contact and social interaction.,Yes; the authors aimed at evaluating emotional expression; specifically positive emotion.,Yes; the authors aimed at evaluating verbal expression and language development.,Yes; the authors aimed at evaluating cognitive skills; particularly multimodal cognitive processes.,Yes; the authors aimed at evaluating social cognition skills such as imitation and joint attention.,N/A. The study did not specifically aim at developing or evaluating physical and motor development skills.,N/A. The study did not aim at developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder.,N/A. The study did not aim at studying adolescents with ASD.,N/A. The study did not aim at studying adults with ASD.,N/A. The study did not aim at studying children with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; specifically free spontaneous game play between autistic children and mobile toy robots.,Yes; the authors carried out play-based activities with robots; specifically free spontaneous game play.,N/A. The study did not specifically carry out imitation and movement activities with robots.,N/A. The study did not specifically carry out emotion and expression recognition activities with robots.,N/A. The study did not carry out music and rhythm activities with robots.,N/A. The study did not specifically carry out executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; analyzing verbal expression during interactions with the robot.
Fortiva-29-Hamid-2013-Human-Robot-Interaction-HRI-For-Children-with-Au.pdf.pdf,Human-Robot Interaction (HRI) For Children with Autism to Augment Communication Skills,Hamid; A. C.; Miskam; M. A.; Yussof; H.; Shamsuddin; S.; Hashim; H.; & Ismail; L. (2013). Human-Robot Interaction (HRI) For Children with Autism to Augment Communication Skills.,(Hamid et al.; 2013),Yes; the authors aimed at developing and evaluating social communication skills; particularly two-way communication between children with autism and a humanoid robot NAO.,N/A. The study did not explicitly aim at developing or evaluating emotional intelligence skills.,Yes; the authors aimed at developing language skills; focusing on augmenting communication skills in children with autism.,N/A. The study did not explicitly aim at developing or evaluating cognitive skills.,Yes; the study aimed at developing social cognition skills; particularly eye contact.,N/A. The study did not aim at developing or evaluating physical and motor development skills.,N/A. The study did not aim at developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder.,N/A. The study focused on children and did not include adolescents with ASD.,N/A. The study focused on children and did not include adults with ASD.,N/A. The study focused specifically on children with autism and did not include children with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; including interactive scenarios and one-on-one interactions between the children and the NAO robot.,Yes; the authors carried out storytelling activities with the robot; including an interactive storytelling program in Module 2.,N/A. The study did not include imitation and movement activities with robots.,N/A. The study did not explicitly include emotion and expression recognition activities with robots.,Yes; the authors carried out music activities with robots; including playing a song from the children's television show 'Barney and Friends' in Module 3.,N/A. The study did not include executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; including question-type conversations and joint attention tasks.
Fortiva-30-Hamzah-et-al.-2014-Development-of-Interaction-Scenarios-Based-on-Pre-.pdf.pdf,Development of Interaction Scenarios based on Pre-School Curriculum in Robotic Intervention for Children with Autism,Hamzah; M. S. J.; Shamsuddin; S.; Miskam; M. A.; Yussof; H.; & Hashim; K. S. (2014). Development of Interaction Scenarios based on Pre-School Curriculum in Robotic Intervention for Children with Autism. Procedia Computer Science; 42; 214-221.,(Hamzah et al.; 2014),Yes; the authors aimed to develop interaction scenarios to facilitate communication and socializing skills in autistic children. The study focuses on improving language skills through robotic interaction.,N/A. The study does not explicitly mention developing or evaluating emotional intelligence skills.,Yes; the interaction scenarios aim to improve the children's ability to communicate and understand simple words. The target is for pupils to listen; imitate and understand simple spoken English; speak and respond accordingly.,N/A. While the interaction scenarios involve some cognitive skills like listening and responding; the study does not explicitly aim to develop or evaluate cognitive skills.,Yes; some of the interaction scenarios involve skills related to social cognition; such as imitating sounds and responding to the robot calling the child's name.,Yes; some interaction scenarios involve the robot asking the child to do simple body movements; which can be considered as developing motor imitation skills.,N/A. The study does not mention developing self-management or adaptive skills.,Yes; the study focuses on robotic intervention for children with autism in the pre-school age.,N/A. The study focuses on pre-school aged children with autism; not adolescents.,N/A. The study focuses on pre-school aged children with autism; not adults.,N/A. The study focuses specifically on children with autism; not other neurodevelopmental disabilities.,N/A. The study focuses on pre-school aged children with autism; not adolescents with other neurodevelopmental disabilities.,N/A. The study focuses on pre-school aged children with autism; not adults with other neurodevelopmental disabilities.,Yes; the study develops interactive scenarios between the humanoid robot NAO and the autistic children to facilitate their communication and social skills.,Yes; one of the interaction scenarios involves the robot NAO singing nursery rhymes with simple choreographed actions.,Yes; some scenarios involve the child imitating the robot's sounds and movements.,N/A. The study does not explicitly mention emotion and expression recognition activities.,Yes; one scenario involves the robot singing songs and performing simple related actions.,N/A. The study does not explicitly mention executive function and cognitive activities.,Yes; the interaction scenarios are designed to facilitate communication; such as the child responding to their name; imitating sounds; and naming objects; which can be considered communication and language activities.
Fortiva-31-Hong-et-al.-2022-Phonetic-convergence-of-children-with-and-without.pdf,Phonetic convergence of children with and without autism in robot interaction,Hong; Y.; Chen; S.; Zhou; F.; & Tang; A. C. T. (2022). Phonetic convergence of children with and without autism in robot interaction. In Proceedings of the 13th International Conference of Experimental Linguistics (pp. 17-19). Paris; France.,(Hong et al.; 2022),N/A. The study did not specifically aim to develop or evaluate social communication skills. It focused on phonetic convergence during human-robot interaction.,N/A. The study did not aim to develop or evaluate emotional intelligence skills.,Yes. The study aimed to investigate phonetic convergence of vowel formants and speech rate; which are aspects of speech and language skills.,N/A. The study did not specifically aim to develop or evaluate cognitive skills like attention; problem-solving; planning; etc.,N/A. The study did not aim to develop or evaluate social cognition skills.,N/A. The study did not aim to develop or evaluate physical and motor development skills.; ,N/A. The study did not aim to develop or evaluate self-management and adaptive skills.,Yes. The study included children with Autism Spectrum Disorder (ASD) as participants.,N/A. The study focused on children; not adolescents with ASD.,N/A. The study focused on children; not adults with ASD.,Yes. The study included typically developing (TD) children as a comparison group to the children with ASD.,N/A. The study focused on children; not adolescents with other neurodevelopmental disabilities.,N/A. The study focused on children; not adults with other neurodevelopmental disabilities.,Yes. The study involved the children interacting with a social robot to find differences between pairs of pictures; which can be considered a social interaction activity.,N/A. The study did not involve storytelling or play-based activities with robots.,N/A. The study did not involve imitation and movement activities with robots.,N/A. The study did not involve emotion and expression recognition activities with robots.,N/A. The study did not involve music and rhythm activities with robots.,N/A. The study did not involve executive function and cognitive activities with robots.,Yes. The study involved the children conversing with the robot to find differences between pictures; which can be considered a communication and language activity.
Fortiva-32-Hossain-et-al.-2020-Human-Robot-Interaction-System-for-Behavioral-Impr.pdf.pdf,Human Robot Interaction System for Behavioral Improvement of Autistic Children,Hossain; M. P.; Atikuzzaman; M.; Rahim; M. M.; Hossain; M. T.; Mousome; M. S.; & Rahaman; M. A. (2020). Human Robot Interaction System for Behavioral Improvement of Autistic Children. 2020 11th International Conference on Computing; Communication and Networking Technologies (ICCCNT); 1-6. https://doi.org/10.1109/ICCCNT49239.2020.9225561,(Hossain et al.; 2020),Yes; the authors aimed at developing social communication skills. The paper mentions that the robot can help autistic children develop their communication skills and behavior.,N/A. The paper does not explicitly mention developing or evaluating emotional intelligence skills.,Yes; the authors aimed at developing language skills. The paper states that the robot can talk to children via voice commands to improve their communication skills.,N/A. The paper does not explicitly mention developing or evaluating cognitive skills.,N/A. The paper does not explicitly mention developing or evaluating social cognition skills.,Yes; the authors aimed at developing physical skills. The robot can perform physical actions like handshaking; saluting; and body movements in response to voice commands.,N/A. The paper does not explicitly mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at children with autism spectrum disorder (ASD).,N/A. The paper focuses on children and does not mention adolescents with ASD.,N/A. The paper focuses on children and does not mention adults with ASD.,N/A. The study focuses specifically on children with ASD and does not mention other neurodevelopmental disabilities.,N/A. The study focuses on children with ASD and does not mention adolescents with other neurodevelopmental disabilities.,N/A. The study focuses on children with ASD and does not mention adults with other neurodevelopmental disabilities.,Yes; the study carried out social interaction activities with robots. The robot can interact with autistic children through physical movements and voice commands.,N/A. The paper does not mention storytelling or play-based activities with robots.,Yes; the study involved imitation and movement activities. The robot can perform physical actions like handshaking and saluting; which children can potentially imitate.,N/A. The paper does not mention emotion and expression recognition activities with robots.,N/A. The paper does not mention music and rhythm activities with robots.,N/A. The paper does not mention executive function and cognitive activities with robots.,Yes; the study involved communication and language activities. The robot can respond to voice commands and engage in conversations with autistic children.
Fortiva-33-Johanna-et-al.-2021-KERO-Playable-Robotic-Platform-to-Contribute-to-No.pdf,KERO-Playable Robotic Platform to Contribute to Non-verbal Communication Teaching in Children with Autism Spectrum Disorder,Tobar; J. S.; Velasco; J. C.; Morales; J. A.; & Caicedo B.; E. (2021). KERO-Playable Robotic Platform to Contribute to Non-verbal Communication Teaching in Children with Autism Spectrum Disorder. International Journal on Advanced Science; Engineering and Information Technology; 11(4); 1554-1564.,(Tobar et al.; 2021),Yes; the study aimed to develop non-verbal communication skills in children with ASD; such as gestures.,N/A. The study did not explicitly aim to develop or evaluate emotional intelligence skills.,N/A. The study did not explicitly aim to develop or evaluate language and speech skills.; ,Yes; the study aimed to increase cognitive abilities like attention; perception; memory; and problem-solving through games with the robot.,Yes; the study aimed to improve gesture recognition skills in children with ASD.,N/A. The study did not explicitly aim to develop or evaluate physical and motor development skills.,N/A. The study did not explicitly aim to develop or evaluate self-management and adaptive skills.,Yes; the study focused on children with autism spectrum disorder (ASD) levels 1 and 2; between ages of 4 and 7 years old.,N/A. The study focused on children with ASD; not adolescents.,N/A. The study focused on children with ASD; not adults.,N/A. The study focused specifically on children with ASD; not children with other neurodevelopmental disabilities.,N/A. The study focused on children with ASD; not adolescents with other neurodevelopmental disabilities.,N/A. The study focused on children with ASD; not adults with other neurodevelopmental disabilities.,Yes; the study involved robot-children interaction through an intuitive interface and games.,N/A. The study did not explicitly use storytelling or play-based activities with the robot.,Yes; the robot performed 8 gestures like crying; happy; affirm; deny; say hello; exclaim; quiet; aim for the children to recognize.,Yes; one of the games involved the child identifying the gesture made by the robot.,N/A. The study did not use music or rhythm-based activities with the robot.,Yes; two games were developed to complement the robot-children interaction and increase their cognitive abilities.,N/A. The study did not explicitly use communication and language activities with the robot.
Fortiva-34-Kajopoulos-et-al.-2015-Robot-Assisted-Training-of-Joint-Attention-Skills.pdf,Robot-Assisted Training of Joint Attention Skills in Children Diagnosed with Autism,Kajopoulos; J.; Wong; A. H. Y.; Wong; C. Y. A.; Dung; T. A.; Kee; T. Y.; & Wykowska; A. (2015). Robot-Assisted Training of Joint Attention Skills in Children Diagnosed with Autism. In Social Robotics: 7th International Conference; ICSR 2015; Paris; France; October 26-30; 2015; Proceedings (pp. 296-305). Springer International Publishing.,(Kajopoulos et al.; 2015),Yes; the authors aimed at developing and evaluating social communication skills; specifically joint attention skills.,N/A. The study did not focus on developing or evaluating emotional intelligence skills.,N/A. The study did not specifically aim at developing or evaluating language and speech skills.,N/A. While the study involved cognitive processes related to attention; it did not explicitly aim to develop or evaluate general cognitive skills.,Yes; the authors aimed at developing and evaluating social cognition skills; specifically joint attention.,N/A. The study did not focus on developing or evaluating physical and motor development skills.,N/A. The study did not aim at developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children aged 4-5 years; not adolescents.,N/A. The study did not aim at studying adults with ASD.,N/A. The study focused specifically on children with ASD; not other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots to improve joint attention skills in children with ASD.,N/A. The study did not involve storytelling or play-based activities with robots.,N/A. While the robot moved its head; the study did not focus on imitation or movement activities.,N/A. The study did not involve emotion and expression recognition activities with robots.,N/A. The study did not involve music and rhythm activities with robots.,N/A. While the study involved some cognitive processes; it did not explicitly focus on executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; specifically joint attention tasks.
Fortiva-35-Kim-et-al.-2014-Rapid-prototyping-framework-for-robot-assisted-tra.pdf,Rapid Prototyping Framework for Robot-assisted Training of Autistic Children,Kim; M. G.; Barakova; E.; & Lourens; T. (2014). Rapid Prototyping Framework for Robot-assisted Training of Autistic Children.,(Kim et al.; 2014),Yes; the authors aimed at developing social communication skills such as social interaction and turn-taking through robot-assisted interventions based on Pivotal Response Training (PRT).,N/A. The study does not explicitly mention developing or evaluating emotional intelligence skills.,Yes; the authors aimed at developing language skills; specifically mentioning teaching children to ask questions and make requests.,N/A. The study does not explicitly mention developing or evaluating cognitive skills.,Yes; the authors aimed at developing social cognition skills; particularly mentioning teaching children to respond to multiple cues.,N/A. The study does not mention developing or evaluating physical and motor development skills.,Yes; the authors aimed at developing self-management skills; specifically mentioning self-initiation as one of the pivotal areas targeted in the intervention.,Yes; the study aimed at developing a framework for robot-assisted training of children with Autism Spectrum Disorder (ASD).,N/A. The study focused on children and did not mention adolescents with ASD.,N/A. The study focused on children and did not mention adults with ASD.,N/A. The study focused specifically on children with ASD and did not mention other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; including interactive scenarios and one-on-one interactions between the child and the robot.,Yes; the authors carried out play-based activities with robots; including various games such as Boomgaardje; Memory games; and a sound-based memory game.,N/A. The study did not mention carrying out imitation and movement activities with robots.,N/A. The study did not mention carrying out emotion and expression recognition activities with robots.,N/A. The study did not mention carrying out music and rhythm activities with robots.,N/A. The study did not mention carrying out executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; including teaching children to ask questions and make requests.
Fortiva-36-Kim-et-al.-2021-Smiles-as-a-Signal-of-Prosocial-Behaviors-Toward-t.pdf,Smiles as a Signal of Prosocial Behaviors Toward the Robot in the Therapeutic Setting for Children With Autism Spectrum Disorder,Kim; S.; Hirokawa; M.; Matsuda; S.; Funahashi; A.; & Suzuki; K. (2021). Smiles as a Signal of Prosocial Behaviors Toward the Robot in the Therapeutic Setting for Children With Autism Spectrum Disorder. Frontiers in Robotics and AI; 8; 599755. https://doi.org/10.3389/frobt.2021.599755,(Kim et al.; 2021),Yes; the authors aimed to explore how robot-assisted therapy based on smile analysis may facilitate prosocial behaviors; which are actions for the benefit of others; in children with autism spectrum disorder (ASD). Prosocial behaviors involve social interaction and communication skills.,N/A. The study did not specifically aim to develop or evaluate emotional intelligence skills.,N/A. The study did not aim to develop or evaluate language and speech skills.,N/A. The study did not aim to develop or evaluate cognitive skills.; ,N/A. The study did not specifically aim to develop or evaluate social cognition skills.,Yes; the authors observed the body movements and behaviors of children with ASD; such as approaching the robot; holding the robot's hands; and helping the robot stand up; which involve motor skills and physical abilities.,N/A. The study did not aim to develop or evaluate self-management and adaptive skills.,Yes; the study focused on children with autism spectrum disorder (ASD).,N/A. The study did not include adolescents with ASD.,N/A. The study did not include adults with ASD.,Yes; the study also included typically developing (TD) children as a comparison group.,N/A. The study did not include adolescents with other neurodevelopmental disabilities.,N/A. The study did not include adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with a NAO robot; such as walking together with the robot and helping the robot stand up when it fell; to facilitate prosocial behaviors in children with ASD.,N/A. The study did not involve storytelling or play-based activities with robots.,Yes; the study involved movement activities with the NAO robot; such as walking together and helping the robot stand up.,N/A. The study did not involve emotion and expression recognition activities with robots.,N/A. The study did not involve music and rhythm activities with robots.,N/A. The study did not involve executive function and cognitive activities with robots.,N/A. The study did not involve communication and language activities with robots.
Fortiva-37-Lebersfeld-et-al.-2018-2157-The-socially-animated-machine-SAM-robot-A.pdf,The socially animated machine (SAM) robot: A social skills intervention for children with autism spectrum disorder,Lebersfeld; J.; Brasher; C. J.; Clesi; C. D.; Stevens; C. E.; Biasini; F. J.; & Hopkins; M. I. (2018). The socially animated machine (SAM) robot: A social skills intervention for children with autism spectrum disorder. University of Alabama at Birmingham.,(Lebersfeld et al.; 2018),Yes; the authors aimed at developing and evaluating social communication skills; specifically mentioning social skills as a core area of difficulty for children with ASD.,Yes; the authors aimed at developing and evaluating emotional intelligence skills; particularly emotion recognition.,N/A. The study does not explicitly mention developing or evaluating language and speech skills.,N/A. The study does not explicitly mention developing or evaluating cognitive skills as a primary aim.,Yes; the authors aimed at developing and evaluating social cognition skills; specifically mentioning facial recognition and emotion identification.,N/A. The study does not mention developing or evaluating physical and motor development skills.,N/A. The study does not explicitly mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD). The participants were 20 children with ASD ages 5-14.,Partially. While the study primarily focused on children; the age range (5-14) includes some early adolescents.,No; the study did not aim at studying adults with ASD. The participants were children aged 5-14.,N/A. The study focused specifically on children with ASD and did not mention other neurodevelopmental disabilities.,N/A. The study focused specifically on children with ASD and did not mention other neurodevelopmental disabilities.,N/A. The study focused specifically on children with ASD and did not include adults or other neurodevelopmental disabilities.,Yes; the study carried out social interaction activities with robots. The SAM robot was used to teach social skills to children with ASD through interactive games.,N/A. The study does not explicitly mention storytelling or play-based activities with robots.,N/A. The study does not mention imitation and movement activities with robots.,Yes; the study carried out emotion and expression recognition activities with robots. The intervention group played emotion games with the SAM robot; and emotion identification was measured.,N/A. The study does not mention music and rhythm activities with robots.,N/A. The study does not explicitly mention executive function and cognitive activities with robots.,N/A. While the study focused on social skills; it does not explicitly mention communication and language activities with robots as described in the question.
Fortiva-38-Lee-et-al.-2013-Robotic-system-for-eye-contact-training-of-childre.pdf,Robotic System for Eye Contact Training of Children with Autism,Lee; J. H.; Kang; H. Y.; Kim; D. H.; Choi; J. S.; & Park; S. K. (2013). Robotic System for Eye Contact Training of Children with Autism. Korea Institute of Science and Technology (KIST); Korea.,(Lee et al.; 2013),Yes; the authors aimed to improve the eye contact skill of children with autism; which is one of the main indicators of their social interaction and communication development.,N/A. The study did not focus on developing or evaluating emotional intelligence skills.,N/A. The study did not focus on developing or evaluating language and speech skills.,N/A. The study did not focus on developing or evaluating cognitive skills.,N/A. The study did not focus on developing or evaluating social cognition skills.,N/A. The study did not focus on developing or evaluating physical and motor development skills.,N/A. The study did not focus on developing or evaluating self-management and adaptive skills.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children with ASD; but not specifically adolescents.,N/A. The study focused on children with ASD; not adults.,N/A. The study focused specifically on children with ASD; not children with other neurodevelopmental disabilities.,N/A. The study focused on children with ASD; not adolescents with other neurodevelopmental disabilities.,N/A. The study focused on children with ASD; not adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; such as the robot greeting and interacting with the child to elicit eye contact.,N/A. The study did not involve storytelling or play-based activities with robots.,N/A. The study did not involve imitation and movement activities with robots.,N/A. The study did not involve emotion and expression recognition activities with robots.,Yes; the robot sang a song and danced as part of the interaction to engage the child.,N/A. The study did not involve executive function and cognitive activities with robots.,Yes; the robot communicated with the child by speaking and attempting to greet the child to elicit a response.
Fortiva-39-Lee-et-al.-2014-Enhancement-of-the-Communication-Effectiveness-of-.pdf.pdf,Enhancement of the Communication Effectiveness of Interactive Robots for Autism Therapy by Using Touch and Colour Feedback,Lee; J.; Takehashi; H.; Nagai; C.; Obinata; G.; & Stefanov; D. (2014). Enhancement of the Communication Effectiveness of Interactive Robots for Autism Therapy by Using Touch and Colour Feedback. Paladyn; Journal of Behavioral Robotics; 5(1); 1-11.,(Lee et al.; 2014),Yes; the authors aimed at developing and evaluating social communication skills; particularly focusing on improving communication effectiveness and social interaction skills of children with autism through the use of interactive robots.,N/A. The study does not explicitly aim at developing or evaluating emotional intelligence skills.,N/A. The study does not explicitly aim at developing or evaluating language and speech skills.,N/A. The study does not explicitly aim at developing or evaluating cognitive skills.,Yes; the authors aimed at developing and evaluating social cognition skills; particularly focusing on touch behavior and color recognition in social interactions.,N/A. The study does not explicitly aim at developing or evaluating physical and motor development skills.,N/A. The study does not explicitly aim at developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD).,N/A. The study does not explicitly aim at studying adolescents with ASD.,N/A. The study does not explicitly aim at studying adults with ASD.,N/A. The study does not aim at studying children with other neurodevelopmental disabilities.,N/A. The study does not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study does not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; including interactive scenarios where children had to respond to different social situations by touching a robot interface.,N/A. The study did not involve storytelling and play-based activities with robots.,N/A. The study did not involve imitation and movement activities with robots.,N/A. While the study involved color recognition; it did not explicitly focus on emotion and expression recognition activities.,N/A. The study did not involve music and rhythm activities with robots.,N/A. The study did not involve executive function and cognitive activities with robots.,Yes; the study involved communication activities with robots; particularly focusing on touch-based communication and color feedback as means of interaction between the child and the robot.
Fortiva-40-Lemaignan-et-al.-2022-Its-Important-to-Think-of-Pepper-as-a-Teaching-A.pdf, It's Important to Think of Pepper as a Teaching Aid or Resource External to the Classroom: A Social Robot in a School for Autistic Children,Lemaignan; S.; Newbutt; N.; Rice; L.; & Daly; J. (2022). It's Important to Think of Pepper as a Teaching Aid or Resource External to the Classroom: A Social Robot in a School for Autistic Children. International Journal of Social Robotics; 1-20.,(Lemaignan et al.; 2022),No; the authors did not specifically aim at developing or evaluating Social Communication skills. The study focused on the integration of a social robot in a school for autistic children and its impact on well-being.,Yes; the authors aimed at evaluating Emotional Intelligence skills to some extent. They measured children's self-reported mood before and after interacting with the robot.,No; the authors did not aim at developing or evaluating Language and Speech skills.,No; the authors did not specifically aim at developing or evaluating Cognitive Skills.,No; the authors did not specifically aim at developing or evaluating Social Cognition skills.,No; the authors did not aim at developing or evaluating Physical and Motor Development skills.,Yes; the authors aimed at developing Self-Management and Adaptive Skills to some extent. They focused on the robot's impact on children's well-being and emotional regulation.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD). The study was conducted in a special educational needs (SEN) school for autistic children.,Yes; the authors aimed at studying adolescents with ASD. The study included secondary pupils aged between 12 and 16 years old.,No; the authors did not aim at studying adults with ASD.,N/A. The study focused specifically on children with autism spectrum disorder; not other neurodevelopmental disabilities.,N/A. The study focused specifically on children with autism spectrum disorder; not other neurodevelopmental disabilities.,N/A. The study focused specifically on children with autism spectrum disorder; not other neurodevelopmental disabilities.,Yes; the authors carried out Social Interaction Activities with robots. The robot was placed in a communal area and engaged in unstructured interactions with the children.,Yes; the authors carried out Storytelling Activities with robots. One of the activities implemented on the robot was a story activity.,Yes; the authors carried out Imitation and Movement Activities with robots. The robot performed dance activities that children could imitate.,No; the authors did not specifically carry out Emotion and Expression Recognition Activities with robots.,Yes; the authors carried out Music and Rhythm Activities with robots. The robot had activities involving calm music and fun dances.,No; the authors did not carry out Executive Function and Cognitive Activities with robots.,No; the authors did not specifically carry out Communication and Language Activities with robots.
Fortiva-41-Li-et-al.-2020-Non-participatory-user-centered-design-of-accessib.pdf,Non-Participatory User-Centered Design of Accessible Teacher-Teleoperated Robot and Tablets for Minimally Verbal Autistic Children,Li; J.; Davison; D.; Alcorn; A.; Williams; A.; Babovic Dimitrijevic; S.; Petrovic; S.; Chevalier; P.; Schadenberg; B.; Ainger; E.; Pellicano; L.; & Evers; V. (2020). Non-Participatory User-Centered Design of Accessible Teacher-Teleoperated Robot and Tablets for Minimally Verbal Autistic Children. In The 13th PErvasive Technologies Related to Assistive Environments Conference (PETRA '20) (pp. 1-9). ACM.,(Li et al.; 2020),Yes; the authors aimed at developing social communication skills; particularly focusing on interaction with a robot and tablet system.,Yes; the authors aimed at developing emotional intelligence skills; specifically teaching facial emotions to minimally verbal autistic children.,N/A. The study does not explicitly aim at developing language and speech skills. The focus is on non-verbal communication and interaction with the robot and tablet system.,N/A. The study does not explicitly aim at developing cognitive skills.,Yes; the authors aimed at developing social cognition skills; particularly facial expression recognition.,N/A. The study does not aim at developing physical and motor development skills.,N/A. The study does not aim at developing self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder; specifically minimally verbal autistic children.,N/A. The study does not explicitly mention aiming at studying adolescents with ASD.,N/A. The study does not aim at studying adults with ASD.,N/A. The study does not aim at studying children with other neurodevelopmental disabilities.,N/A. The study does not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study does not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with robots; specifically interactive scenarios between the child; robot; and adult teacher.,N/A. The study does not mention carrying out storytelling and play-based activities with robots.,N/A. The study does not mention carrying out imitation and movement activities with robots.,Yes; the authors carried out emotion and expression recognition activities with robots; focusing on teaching facial features and emotions.,N/A. The study does not mention carrying out music and rhythm activities with robots.,N/A. The study does not mention carrying out executive function and cognitive activities with robots.,Yes; the authors carried out communication and language activities with robots; specifically using tablets for the child to interact with and respond to the robot.
Fortiva-42-Lindsay-2020-Exploring-Skills-Gained-Through-a-Robotics-Program.pdf.pdf,Exploring Skills Gained Through a Robotics Program for Youth With Disabilities,Lindsay; S. (2020). Exploring Skills Gained Through a Robotics Program for Youth With Disabilities. OTJR: Occupation; Participation and Health; 40(1); 57-63.,(Lindsay; 2020),Yes; the study aimed at developing social communication skills such as teamwork and social interaction through a group-based robotics program.,N/A. The study did not explicitly aim at developing or evaluating emotional intelligence skills.,N/A. The study did not explicitly aim at developing or evaluating language and speech skills.,Yes; the study aimed at developing cognitive skills such as problem-solving and critical thinking through participation in the robotics program.,N/A. The study did not explicitly aim at developing or evaluating social cognition skills.,N/A. The study did not explicitly aim at developing or evaluating physical and motor development skills.,Yes; the study aimed at developing self-management skills such as time management and self-confidence through participation in the robotics program.,Yes; the study included children with autism spectrum disorder (ASD) as part of the sample.,Yes; the study included adolescents with ASD as part of the sample (age range 9-14 years).,N/A. The study did not include adults with ASD.,Yes; the study included children with other neurodevelopmental disabilities such as cerebral palsy; developmental delay; and intellectual delay.,Yes; the study included adolescents with other neurodevelopmental disabilities (age range 9-14 years).,N/A. The study did not include adults with other neurodevelopmental disabilities.,Yes; the study carried out social interaction activities with robots through group-based sessions and collaborative scenarios.,N/A. The study did not explicitly mention carrying out storytelling and play-based activities with robots.,N/A. The study did not explicitly mention carrying out imitation and movement activities with robots.,N/A. The study did not explicitly mention carrying out emotion and expression recognition activities with robots.,N/A. The study did not mention carrying out music and rhythm activities with robots.,Yes; the study carried out executive function and cognitive activities with robots; including programming robots and planning activities.,N/A. The study did not explicitly mention carrying out communication and language activities with robots.
